"","X","business_id","name","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open","categories","attributes.GoodForKids","attributes.RestaurantsReservations","attributes.GoodForMeal","attributes.BusinessParking","attributes.Caters","attributes.NoiseLevel","attributes.RestaurantsTakeOut","attributes.RestaurantsPriceRange2","attributes.OutdoorSeating","attributes.BikeParking","attributes.Ambience","attributes.HasTV","attributes.WiFi","attributes.Alcohol","attributes.RestaurantsAttire","attributes.RestaurantsGoodForGroups","attributes.RestaurantsDelivery","attributes.BusinessAcceptsCreditCards","Chinese","French","Mexican","Italian","Indian","Japanese","American"
"1",2,"QXAEGFB4oINsVuTFxEYKFQ","Emerald Chinese Restaurant","30 Eglinton Avenue W","Mississauga","ON","L5R 3E7",43.6054989743,-79.652288909,2.5,128,1,"Specialty Food, Restaurants, Dim Sum, Imported Food, Food, Chinese, Ethnic Food, Seafood","True","True",2,1,"True","u'loud'","True","2","False","False",1,"False","u'no'","u'full_bar'","u'casual'","True","False",NA,1,0,0,0,0,0,0
"2",3,"gnKjwL_1w79qoiV3IC_xQQ","Musashi Japanese Restaurant","10110 Johnston Rd, Ste 15","Charlotte","NC","28210",35.092564,-80.859132,4,170,1,"Sushi Bars, Restaurants, Japanese","True","True",2,1,"False","u'average'","True","2","False","True",1,"True","u'no'","u'beer_and_wine'","'casual'","True","False","True",0,0,0,0,0,1,0
"3",26,"tstimHoMcYbkSC4eBA1wEg","Maria's Mexican Restaurant & Bakery","6055 E Lake Mead Blvd","Las Vegas","NV","89156",36.1956146,-115.0405289,4.5,184,1,"Mexican, Restaurants, Patisserie/Cake Shop, Food, Bars, Nightlife","True","False",2,1,"False","'average'","True","1","False","True",1,"True","u'no'","u'beer_and_wine'","u'casual'","True","False","True",0,0,1,0,0,0,0
"4",67,"dQj5DLZjeDK3KFysh1SYOQ","Apteka","4606 Penn Ave","Pittsburgh","PA","15224",40.4656937,-79.9493238,4.5,242,1,"Nightlife, Bars, Polish, Modern European, Restaurants, Vegan","False","False",1,1,"True","u'average'","True","2","False","True",2,"False","u'free'","u'full_bar'","u'casual'","True","False","True",0,0,0,0,0,0,0
"5",72,"9UTpmQ4OhX5jNFUIu7dPPQ","Buk Chang Dong Soon Tofu","3085 Hurontario Street","Mississauga","ON","L5A",43.582262,-79.618858,4,103,1,"Restaurants, Korean","True","False",2,1,"False","u'average'","True","1","False","True",1,"False","u'no'","'none'","u'casual'","True","False",NA,0,0,0,0,0,0,0
"6",74,"v-scZMU6jhnmV955RSzGJw","No. 1 Sushi Sushi","436 Market St","Pittsburgh","PA","15222",40.441062,-80.002126,4.5,106,1,"Japanese, Sushi Bars, Restaurants","True","False",1,1,"True","'average'","True","2","False","True",1,"True","'no'","'none'","'casual'","False","False","True",0,0,0,0,0,1,0
"7",79,"44YFU284Z3KDEy25QyVoUw","Nee House Chinese Restaurant","13843 N Tatum Blvd, Ste 15","Phoenix","AZ","85032",33.6130201898,-111.9770356779,3.5,269,1,"Chinese, Restaurants","True","True",2,1,"True","u'average'","True","2","False","True",1,"False","u'no'","'beer_and_wine'","'casual'","True","False","True",1,0,0,0,0,0,0
"8",141,"r8764MtYyt8JhxMvrfM_xQ","Vintage 95","95 W Boston","Chandler","AZ","85225",33.3020931,-111.8426128,4,320,0,"American (New), Bars, Wine Bars, Nightlife, Restaurants","False","True",NA,1,"False","u'average'","True","2","True","True",1,"True","u'free'","u'full_bar'","u'casual'","True","False","True",0,0,0,0,0,0,1
"9",142,"L0aSDVHNXCl6sY4cfZQ-5Q","Mai Thai II","7712 Sossamon Ln NW, Unit 140","Concord","NC","28027",35.364974,-80.708763,4,108,1,"Restaurants, Thai","True","True",2,1,"True","'quiet'","True","2","True","True",1,"True","'no'","'beer_and_wine'","'casual'","True","False","True",0,0,0,0,0,0,0
"10",157,"jScBTQtdAt-8RshaiBEHgw","Served","1770 W Horizon Ridge, Ste 100","Henderson","NV","89012",36.0107451,-115.0648029,4.5,664,1,"Ethnic Food, American (New), Burgers, Food, Restaurants, Asian Fusion, Specialty Food, Mexican, Sandwiches, Breakfast & Brunch, Korean","True","True",3,1,"True","'quiet'","True","2","False","False",2,"False","'no'","u'beer_and_wine'","'casual'","True","False","True",0,0,1,0,0,0,1
"11",158,"U3kygJOTlTQFlfaZS7sQjA","JJ's Red Hots - Dilworth","1514 East Blvd","Charlotte","NC","28203",35.1997979674,-80.842294693,4,380,1,"Caterers, Hot Dogs, Restaurants, Vegetarian, American (Traditional), Event Planning & Services","True","True",2,1,"True","u'average'","True","1","True","True",1,"True","u'free'","u'beer_and_wine'","u'casual'","True","False","True",0,0,0,0,0,0,1
"12",160,"c35qzLN6ItDpVIoj2uQW4Q","Ravi Soups","322 Adelaide Street W","Toronto","ON","M5V 1R1",43.6475853,-79.3920316,4.5,332,1,"Soup, Restaurants, Sandwiches","True","False",1,1,"True","u'average'","True","2","True","True",1,"False","u'free'","u'beer_and_wine'","u'casual'","True","True",NA,0,0,0,0,0,0,0
"13",163,"nsNONDHbV7Vudqh21uicqw","Salt Cellar","550 N Hayden Rd","Scottsdale","AZ","85257",33.454286,-111.909405,3.5,526,1,"Seafood, Restaurants","False","True",1,1,"False","u'average'","False","3","False","False",0,"True","u'no'","'full_bar'","u'casual'","True","False","True",0,0,0,0,0,0,0
"14",175,"6fPQJq4f_yiq1NHn0fd11Q","La Creperie","3655 Las Vegas Blvd S","Las Vegas","NV","89109",36.1125266402,-115.1713514328,3.5,535,1,"French, Restaurants, Creperies","True","False",3,1,"False","u'average'","True","2","False","False",1,"False","'no'","'none'","'casual'","True","False","True",0,1,0,0,0,0,0
"15",177,"k-dDZvTeLysoJvjHI-qr9g","Feast Buffet","2411 W Sahara Ave","Las Vegas","NV","89102",36.1421161808,-115.1742515629,3,287,1,"Buffets, Restaurants","True","False",3,2,"False","u'average'","False","1","False","True",1,"False","'free'","u'beer_and_wine'","'casual'","True","False","True",0,0,0,0,0,0,0
"16",188,"MhnihE0alud0ereVInSt8Q","Yummy Yummy Chinese Restaurant","2765 N Scottsdale Rd, Ste 105","Scottsdale","AZ","85257",33.478754,-111.925484,3,188,1,"Chinese, Restaurants","True","False",NA,1,"True","'average'","True","1","False","True",1,"True","u'no'","u'none'","u'casual'","False","True","True",1,0,0,0,0,0,0
"17",198,"FDEm-c3NAXnTVtl-hgzAhA","Heart Attack Grill","6185 W Chandler Blvd","Chandler","AZ","85226",33.3047634,-111.948079,3,104,0,"Burgers, Restaurants","False","False",NA,1,"True","u'average'","True","2","True",NA,1,"True","u'no'","u'full_bar'","'casual'","True","False","False",0,0,0,0,0,0,0
"18",261,"tWjfgVtTD5n01Cq9dFWGsA","Cibo","1012 17 Avenue SW","Calgary","AB","T2T 0A5",51.0380869,-114.0849675,3.5,185,1,"Italian, Canadian (New), Food, American (New), Restaurants","True","True",1,1,"False","u'average'","True","2","True","True",2,"True","'free'","u'full_bar'","u'casual'","True","True",NA,0,0,0,1,0,0,1
"19",274,"dUffgo9Lh_Vk9TLuFR5ywg","Oregano's Pizza Bistro","1008 E Camelback Rd","Phoenix","AZ","85014",33.50951,-112.060238,3.5,563,1,"Restaurants, Pizza, Sandwiches, Italian","True","False",3,1,"True","u'average'","True","2","True","True",1,"True","'no'","u'full_bar'","'casual'","True","False","True",0,0,0,1,0,0,0
"20",344,"jX9DocoiY4Bo9EUkaTSqvg","China AAA","10624 S Eastern Ave","Henderson","NV","89052",35.99822,-115.102246,4.5,149,1,"Restaurants, Hawaiian, Chinese, Japanese, Poke, Asian Fusion, Mexican, Food","True","False",2,1,"True","u'average'","True","2","False","False",3,"True","u'free'","u'none'","'casual'","True","False","True",1,0,1,0,0,1,0
"21",347,"ecJri9ozyke4dOCWulZiRQ","Nishikawa Ramen","1909 E Ray Rd","Chandler","AZ","85225",33.3200057,-111.8096749,4,427,1,"Asian Fusion, Japanese, Restaurants, Ramen, Tapas Bars","True","False",2,1,"True","'average'","True","2","False","True",1,"True","u'free'","u'full_bar'","'casual'","True","False","True",0,0,0,0,0,1,0
"22",453,"NX1281ugzs2navHAX5X9cQ","Cha Me Cha","8333 Kennedy Road, Suite 1078","Markham","ON","L3R 1J5",43.8563274289,-79.3038838729,3,293,1,"Bubble Tea, Food, Restaurants, Taiwanese, Coffee & Tea",NA,NA,NA,2,"False",NA,"True","2","False","True",NA,NA,"'free'",NA,NA,NA,"True",NA,0,0,0,0,0,0,0
"23",495,"k2b3niokS_tosjah_rzCPw","Metro Pizza","6720 Sky Pointe Dr","Las Vegas","NV","89131",36.2836689,-115.2702841,3.5,303,1,"Restaurants, Pizza","True","False",2,1,"True","u'average'","True","2","True","True",1,"True","u'no'","u'beer_and_wine'","u'casual'","True","True","True",0,0,0,0,0,0,0
"24",508,"QS3QxI7u5PRdtbGgI0-UsA","Sakana Sushi & Grill","6989 N Hayden Rd, Ste A12","Scottsdale","AZ","85250",33.5380294431,-111.9056757902,4,347,1,"Asian Fusion, Restaurants, Seafood, Sushi Bars, Japanese","True","False",2,1,"False","u'average'","True","2","False","False",1,"True","u'no'","u'beer_and_wine'","'casual'","True","False","True",0,0,0,0,0,1,0
"25",524,"AMN3Sgns9tB2x-b3eWk0qQ","Noodles Ranch","2765 N Scottsdale Rd, Ste 107","Scottsdale","AZ","85257",33.4793671,-111.9247231,4,457,1,"Vietnamese, Restaurants","True","True",2,0,"True","u'average'","True","2","False","True",1,"True","u'no'","u'beer_and_wine'","'casual'","True","False","True",0,0,0,0,0,0,0
"26",530,"h_ypoQ2rmwX8UGSmohsGiQ","Maman","1 First Canadian Place, Food Terrace, Upper Level","Toronto","ON","M5X 1C1",43.6489768,-79.382409,3.5,122,1,"Event Planning & Services, American (Traditional), Bakeries, Cocktail Bars, Caterers, Bars, Coffee & Tea, Food, French, Restaurants, Nightlife","True","False",2,0,"True","u'average'","True","2","True","False",1,"False","u'free'","u'full_bar'","'casual'","True","True",NA,0,1,0,0,0,0,1
"27",535,"yGMCl0vYigshkXiZFIDTNw","Mimi's Cafe","7450 W Bell Rd","Glendale","AZ","85308",33.6386542,-112.219354,3,184,1,"Nightlife, Restaurants, American (Traditional), Wine Bars, Bars, Breakfast & Brunch, French","True","True",3,1,"True","'average'","True","2","True","True",1,"False","'free'","u'full_bar'","u'casual'","True","False","True",0,1,0,0,0,0,1
"28",543,"dusNIzdCaH6EoLl2hRy6cQ","Chipotle Mexican Grill","3475 Las Vegas Blvd S","Las Vegas","NV","89109",36.120095,-115.171769,3.5,115,1,"Fast Food, Mexican, Restaurants","True","False",2,1,"False","u'loud'","True","1","True","False",1,"False","u'no'","u'beer_and_wine'","'casual'","True","False","True",0,0,1,0,0,0,0
"29",585,"RGK23CEkDfYHWtUbRhA-bQ","The Turnhouse Grille","1600 E Woodlawn Rd, Ste 100","Charlotte","NC","28209",35.1717355947,-80.8492714539,4.5,102,1,"Burgers, Restaurants, American (New), Bars, American (Traditional), Nightlife","False","True",3,0,NA,"u'average'","True","2","True","True",3,"True","u'free'","'full_bar'","'casual'","True","False","True",0,0,0,0,0,0,1
"30",594,"-bd4BQcl1ekgo7avaFngIw","Eggstasy","6990 E Shea Blvd","Scottsdale","AZ","85254",33.5825076235,-111.9312195007,3.5,646,1,"Diners, Breakfast & Brunch, Restaurants","True","True",3,1,"False","'average'","True","2","True","True",1,"True","'free'","'full_bar'","'casual'","True","False","True",0,0,0,0,0,0,0
"31",600,"cmsAFAymfVoBitSF8R6GKw","Yao Fine Chinese Cuisine","2487 S Gilbert Rd, Ste 102","Gilbert","AZ","85295",33.30483,-111.788866,4,200,1,"Chinese, Restaurants","True","False",2,1,"True","'average'","True","1","False","True",1,"True","u'no'","u'beer_and_wine'","u'casual'","True","False","True",1,0,0,0,0,0,0
"32",613,"BkIZ8UDA23qxnp_kR1Sv8Q","Eggspectation","190 Rue Sainte-Catherine O","Montréal","QC","H2X 2X3",45.507291,-73.565672,4,342,1,"Burgers, American (Traditional), Cafes, Breakfast & Brunch, Restaurants, Sandwiches, Comfort Food","True","False",3,3,"False","u'average'","False","2","True","False",1,"True","u'free'","u'full_bar'","u'casual'","True","False",NA,0,0,0,0,0,0,1
